Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22uF|3.55mOhm,
"C10, C11, C6",1210,3,47uF|3.037mOhm,
"C13, C14",0805,2,10uF|5.463mOhm,
"C2, C3",1206,2,0.1uF,
C4,0805,1,100nF|280mOhm,
C5,0805,1,47pF|0Ohm,
C8,0805,1,100nF|1mOhm,
C9,0805,1,82pF|401mOhm,
D1,PinHeader_1x02_P2.54mm_Vertical,1,LED,
F1,Fuse_Littelfuse_395Series,1,Polyfuse,
"J10, J11, J8, J9",PinHeader_1x01_P2.54mm_Vertical,4,Conn_01x01,
J12,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J2,PinSocket_1x01_P2.54mm_Vertical,1,CELL1+,
J3,PinSocket_1x01_P2.54mm_Vertical,1,CELL1-,
J5,PinSocket_1x01_P2.54mm_Vertical,1,CELL2-,
J6,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
J7,PinHeader_1x03_P2.00mm_Vertical,1,Conn_01x03,
L1,L_APV_ANR8040,1,5uH|22mOhm,
L2,L_Bourns-SRN8040_8x8.15mm,1,3.3uH|31mOhm,
"R1, R6",1206,2,100k,
"R11, R4",1206,2,330,
R2,1206,1,13.7k,
R5,1206,1,2k,
R7,1206,1,22k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,100,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,1,47,
SW1,PinSocket_1x02_P2.54mm_Vertical,1,SW_SPST,
U2,SOT-23-6_Handsoldering,1,TPS54302,
U3,SOT-23-6_Handsoldering,1,HY2120,
U4,SOT-23-6,1,TPS54302,
U5,SOT-23-6_Handsoldering,1,FS8205,
