Designator,Mid X,Mid Y,Rotation,Layer
C1,189.28125,-102.207326,180.0,top
C10,208.08125,-92.244826,270.0,top
C11,204.88125,-92.244826,270.0,top
C13,213.08125,-92.007326,270.0,top
C14,210.88125,-92.007326,270.0,top
C2,186.60625,-83.49375,270.0,top
C3,186.60625,-78.49375,90.0,top
C4,189.28125,-99.807326,180.0,top
C5,197.28125,-100.644826,270.0,top
C6,204.68125,-99.882326,90.0,top
C8,212.28125,-84.807326,180.0,top
C9,199.88125,-92.244826,270.0,top
D1,166.795,-86.8,90.0,top
F1,194.80125,-82.29375,270.0,top
J10,162.72287,-103.7125,90.0,top
J11,162.92287,-91.3125,90.0,top
J12,207.0,-104.8,90.0,top
J2,172.4,-82.4,0.0,top
J3,176.2,-82.4,0.0,top
J5,180.2,-82.4,0.0,top
J6,165.925,-80.15,0.0,top
J7,181.92287,-98.9125,180.0,top
J8,181.92287,-103.7125,90.0,top
J9,182.12287,-91.5125,90.0,top
L1,192.08125,-94.407326,0.0,top
L2,205.68125,-85.207326,180.0,top
R1,199.48125,-100.044826,270.0,top
R11,184.20625,-78.54375,90.0,top
R2,201.88125,-100.094826,90.0,top
R4,184.20625,-83.49375,90.0,top
R5,194.60625,-76.49375,180.0,top
R6,202.08125,-92.244826,270.0,top
R7,199.68125,-87.607326,90.0,top
R8,207.10125,-73.594826,0.0,top
R9,207.10125,-76.794826,0.0,top
SW1,178.55125,-86.594826,90.0,top
U2,193.73125,-100.657326,180.0,top
U3,190.20625,-79.69375,270.0,top
U4,212.28125,-88.007326,180.0,top
U5,190.20625,-84.89375,270.0,top
