Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C9",1206,2,100nF,
D15,D_SMA_Handsoldering,1,D,
D9,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,1,SK6812MINI-E,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J12,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J19, J20, J25, J29",PinHeader_1x06_P2.54mm_Vertical,4,Conn_01x06,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R10, R11, R9",1206,3,10k,
U1,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U16,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
