Designator,Mid X,Mid Y,Rotation,Layer
C10,141.38125,-100.0125,270.0,top
C9,138.98125,-100.0125,270.0,top
D15,134.0,-111.4,0.0,top
D9,150.2,-99.8,270.0,bottom
J1,164.55,-101.52,90.0,top
J12,144.13,-112.2,90.0,top
J19,123.39,-78.8,90.0,top
J2,148.4,-106.0,90.0,top
J20,140.35,-78.8,90.0,top
J25,157.35,-78.8,90.0,top
J29,174.35,-78.8,90.0,top
JP3,117.6,-101.4,180.0,bottom
R10,141.5625,-90.4125,180.0,top
R11,157.6,-88.0,270.0,top
R9,141.5625,-93.0125,180.0,top
U1,124.6,-109.8,180.0,top
U16,152.2,-89.6,270.0,top
U3,140.2,-95.8625,0.0,top
U4,120.17,-96.257143,90.0,top
