Item Name,Unit Price,Cur.,Link,Column 11,Min Qty.,Qty.,Amount,Co1,1.. Run. Total,2.. Run. Total
Mainboard PCB,0.4000,USD,jlcpcb.com,http://jlcpcb.com/,5,1,2.00,USD,₹191.51,$2.00
Per-finger module PCB,0.4000,USD,jlcpcb.com,http://jlcpcb.com/,5,4,2.00,USD,₹191.51,$2.00
Power module PCB,1.4000,USD,jlcpcb.com,http://jlcpcb.com/,5,1,7.00,USD,₹861.80,$9.00
Header pins (90deg),0.2000,INR,QuartzComponents,https://quartzcomponents.com/collections/all/products/male-90-degree-pin-header-connector,40,122,32.00,INR,₹223.51,$2.33
TYPE-C-31-M-12,0.1719,USD,LCSC,https://www.lcsc.com/product-detail/C165948.html,5,1,0.86,USD,₹305.81,$3.19
LM1117MP-3.3/TR,0.0931,USD,LCSC,https://www.lcsc.com/product-detail/C498153.html,5,1,0.47,USD,₹350.39,$3.66
SS56 Diode,0.0471,USD,LCSC,https://www.lcsc.com/product-detail/C65009.html,10,1,0.47,USD,₹395.49,$4.13
ESP32-S3-WROOM-1,371.0000,INR,ETStore,https://www.etstore.in/products/a2724,1,1,371.00,INR,₹766.49,$8.00
LSM6DS3TR-C,1.5474,USD,LCSC,https://www.lcsc.com/product-detail/C967633.html,1,9,13.93,USD,"₹2,100.04",$21.93
TCA9548APWR,0.6418,USD,LCSC,https://www.lcsc.com/product-detail/C130026.html,1,1,0.64,USD,"₹2,161.50",$22.57
SK6812MINI-E,0.0870,USD,LCSC,https://www.lcsc.com/product-detail/C5149201.html,5,14,1.31,USD,"₹2,286.46",$23.88
10k 1206 resistor,0.4500,INR,QuartzComponents,https://quartzcomponents.com/collections/all/products/yageo-510k-ohm-1206-package-1-4w-smd-resistor-1-tolerance-pack-of-20-pieces,20,2,9.00,INR,"₹2,295.46",$23.97
100nF 0805 capacitor,1.5000,INR,QuartzComponents,https://quartzcomponents.com/collections/all/products/100nf-0-1uf-104-50v-1206-smd-capacitor-pack-of-10-pieces,10,2,15.00,INR,"₹2,310.46",$24.13
10k 1206 resistor,0.4500,INR,QuartzComponents,https://quartzcomponents.com/collections/all/products/yageo-510k-ohm-1206-package-1-4w-smd-resistor-1-tolerance-pack-of-20-pieces,40,16,18.00,INR,"₹2,328.46",$24.32
